,start_time,end_time,consumption,type
0,2023-12-16 00:00:00-05:00,2023-12-16 00:15:00-05:00,0.555,ELEC
1,2023-12-16 00:15:00-05:00,2023-12-16 00:30:00-05:00,0.66,ELEC
2,2023-12-16 00:30:00-05:00,2023-12-16 00:45:00-05:00,0.711,ELEC
3,2023-12-16 00:45:00-05:00,2023-12-16 01:00:00-05:00,0.549,ELEC
4,2023-12-16 01:00:00-05:00,2023-12-16 01:15:00-05:00,0.705,ELEC
5,2023-12-16 01:15:00-05:00,2023-12-16 01:30:00-05:00,0.702,ELEC
6,2023-12-16 01:30:00-05:00,2023-12-16 01:45:00-05:00,0.672,ELEC
7,2023-12-16 01:45:00-05:00,2023-12-16 02:00:00-05:00,0.576,ELEC
8,2023-12-16 02:00:00-05:00,2023-12-16 02:15:00-05:00,0.723,ELEC
9,2023-12-16 02:15:00-05:00,2023-12-16 02:30:00-05:00,0.687,ELEC
10,2023-12-16 02:30:00-05:00,2023-12-16 02:45:00-05:00,0.639,ELEC
11,2023-12-16 02:45:00-05:00,2023-12-16 03:00:00-05:00,0.765,ELEC
12,2023-12-16 03:00:00-05:00,2023-12-16 03:15:00-05:00,0.693,ELEC
13,2023-12-16 03:15:00-05:00,2023-12-16 03:30:00-05:00,0.687,ELEC
14,2023-12-16 03:30:00-05:00,2023-12-16 03:45:00-05:00,0.741,ELEC
15,2023-12-16 03:45:00-05:00,2023-12-16 04:00:00-05:00,0.651,ELEC
16,2023-12-16 04:00:00-05:00,2023-12-16 04:15:00-05:00,0.72,ELEC
17,2023-12-16 04:15:00-05:00,2023-12-16 04:30:00-05:00,1.506,ELEC
18,2023-12-16 04:30:00-05:00,2023-12-16 04:45:00-05:00,1.263,ELEC
19,2023-12-16 04:45:00-05:00,2023-12-16 05:00:00-05:00,0.738,ELEC
20,2023-12-16 05:00:00-05:00,2023-12-16 05:15:00-05:00,0.738,ELEC
21,2023-12-16 05:15:00-05:00,2023-12-16 05:30:00-05:00,1.152,ELEC
22,2023-12-16 05:30:00-05:00,2023-12-16 05:45:00-05:00,1.332,ELEC
23,2023-12-16 05:45:00-05:00,2023-12-16 06:00:00-05:00,0.753,ELEC
24,2023-12-16 06:00:00-05:00,2023-12-16 06:15:00-05:00,0.78,ELEC
25,2023-12-16 06:15:00-05:00,2023-12-16 06:30:00-05:00,1.425,ELEC
26,2023-12-16 06:30:00-05:00,2023-12-16 06:45:00-05:00,1.611,ELEC
27,2023-12-16 06:45:00-05:00,2023-12-16 07:00:00-05:00,1.263,ELEC
28,2023-12-16 07:00:00-05:00,2023-12-16 07:15:00-05:00,1.554,ELEC
29,2023-12-16 07:15:00-05:00,2023-12-16 07:30:00-05:00,2.175,ELEC
30,2023-12-16 07:30:00-05:00,2023-12-16 07:45:00-05:00,1.791,ELEC
31,2023-12-16 07:45:00-05:00,2023-12-16 08:00:00-05:00,1.944,ELEC
32,2023-12-16 08:00:00-05:00,2023-12-16 08:15:00-05:00,1.779,ELEC
33,2023-12-16 08:15:00-05:00,2023-12-16 08:30:00-05:00,2.472,ELEC
34,2023-12-16 08:30:00-05:00,2023-12-16 08:45:00-05:00,1.332,ELEC
35,2023-12-16 08:45:00-05:00,2023-12-16 09:00:00-05:00,1.314,ELEC
36,2023-12-16 09:00:00-05:00,2023-12-16 09:15:00-05:00,1.863,ELEC
37,2023-12-16 09:15:00-05:00,2023-12-16 09:30:00-05:00,1.068,ELEC
38,2023-12-16 09:30:00-05:00,2023-12-16 09:45:00-05:00,1.068,ELEC
39,2023-12-16 09:45:00-05:00,2023-12-16 10:00:00-05:00,1.122,ELEC
40,2023-12-16 10:00:00-05:00,2023-12-16 10:15:00-05:00,1.197,ELEC
41,2023-12-16 10:15:00-05:00,2023-12-16 10:30:00-05:00,1.125,ELEC
42,2023-12-16 10:30:00-05:00,2023-12-16 10:45:00-05:00,1.137,ELEC
43,2023-12-16 10:45:00-05:00,2023-12-16 11:00:00-05:00,1.224,ELEC
44,2023-12-16 11:00:00-05:00,2023-12-16 11:15:00-05:00,1.191,ELEC
45,2023-12-16 11:15:00-05:00,2023-12-16 11:30:00-05:00,1.056,ELEC
46,2023-12-16 11:30:00-05:00,2023-12-16 11:45:00-05:00,1.203,ELEC
47,2023-12-16 11:45:00-05:00,2023-12-16 12:00:00-05:00,1.371,ELEC
48,2023-12-16 12:00:00-05:00,2023-12-16 12:15:00-05:00,1.971,ELEC
49,2023-12-16 12:15:00-05:00,2023-12-16 12:30:00-05:00,1.128,ELEC
50,2023-12-16 12:30:00-05:00,2023-12-16 12:45:00-05:00,0.942,ELEC
51,2023-12-16 12:45:00-05:00,2023-12-16 13:00:00-05:00,0.996,ELEC
52,2023-12-16 13:00:00-05:00,2023-12-16 13:15:00-05:00,0.954,ELEC
53,2023-12-16 13:15:00-05:00,2023-12-16 13:30:00-05:00,0.972,ELEC
54,2023-12-16 13:30:00-05:00,2023-12-16 13:45:00-05:00,1.569,ELEC
55,2023-12-16 13:45:00-05:00,2023-12-16 14:00:00-05:00,1.404,ELEC
56,2023-12-16 14:00:00-05:00,2023-12-16 14:15:00-05:00,1.101,ELEC
57,2023-12-16 14:15:00-05:00,2023-12-16 14:30:00-05:00,0.975,ELEC
58,2023-12-16 14:30:00-05:00,2023-12-16 14:45:00-05:00,1.023,ELEC
59,2023-12-16 14:45:00-05:00,2023-12-16 15:00:00-05:00,1.512,ELEC
60,2023-12-16 15:00:00-05:00,2023-12-16 15:15:00-05:00,0.894,ELEC
61,2023-12-16 15:15:00-05:00,2023-12-16 15:30:00-05:00,0.834,ELEC
62,2023-12-16 15:30:00-05:00,2023-12-16 15:45:00-05:00,0.816,ELEC
63,2023-12-16 15:45:00-05:00,2023-12-16 16:00:00-05:00,1.044,ELEC
64,2023-12-16 16:00:00-05:00,2023-12-16 16:15:00-05:00,1.059,ELEC
65,2023-12-16 16:15:00-05:00,2023-12-16 16:30:00-05:00,1.023,ELEC
66,2023-12-16 16:30:00-05:00,2023-12-16 16:45:00-05:00,0.996,ELEC
67,2023-12-16 16:45:00-05:00,2023-12-16 17:00:00-05:00,1.881,ELEC
68,2023-12-16 17:00:00-05:00,2023-12-16 17:15:00-05:00,1.335,ELEC
69,2023-12-16 17:15:00-05:00,2023-12-16 17:30:00-05:00,1.791,ELEC
70,2023-12-16 17:30:00-05:00,2023-12-16 17:45:00-05:00,1.461,ELEC
71,2023-12-16 17:45:00-05:00,2023-12-16 18:00:00-05:00,1.272,ELEC
72,2023-12-16 18:00:00-05:00,2023-12-16 18:15:00-05:00,1.776,ELEC
73,2023-12-16 18:15:00-05:00,2023-12-16 18:30:00-05:00,1.14,ELEC
74,2023-12-16 18:30:00-05:00,2023-12-16 18:45:00-05:00,1.59,ELEC
75,2023-12-16 18:45:00-05:00,2023-12-16 19:00:00-05:00,1.542,ELEC
76,2023-12-16 19:00:00-05:00,2023-12-16 19:15:00-05:00,1.128,ELEC
77,2023-12-16 19:15:00-05:00,2023-12-16 19:30:00-05:00,1.029,ELEC
78,2023-12-16 19:30:00-05:00,2023-12-16 19:45:00-05:00,1.137,ELEC
79,2023-12-16 19:45:00-05:00,2023-12-16 20:00:00-05:00,1.092,ELEC
80,2023-12-16 20:00:00-05:00,2023-12-16 20:15:00-05:00,2.01,ELEC
81,2023-12-16 20:15:00-05:00,2023-12-16 20:30:00-05:00,1.263,ELEC
82,2023-12-16 20:30:00-05:00,2023-12-16 20:45:00-05:00,0.789,ELEC
83,2023-12-16 20:45:00-05:00,2023-12-16 21:00:00-05:00,1.212,ELEC
84,2023-12-16 21:00:00-05:00,2023-12-16 21:15:00-05:00,1.083,ELEC
85,2023-12-16 21:15:00-05:00,2023-12-16 21:30:00-05:00,0.609,ELEC
86,2023-12-16 21:30:00-05:00,2023-12-16 21:45:00-05:00,1.035,ELEC
87,2023-12-16 21:45:00-05:00,2023-12-16 22:00:00-05:00,1.26,ELEC
88,2023-12-16 22:00:00-05:00,2023-12-16 22:15:00-05:00,0.642,ELEC
89,2023-12-16 22:15:00-05:00,2023-12-16 22:30:00-05:00,0.678,ELEC
90,2023-12-16 22:30:00-05:00,2023-12-16 22:45:00-05:00,0.642,ELEC
91,2023-12-16 22:45:00-05:00,2023-12-16 23:00:00-05:00,0.636,ELEC
92,2023-12-16 23:00:00-05:00,2023-12-16 23:15:00-05:00,0.471,ELEC
