,start_time,end_time,consumption,type
0,2023-09-22 00:00:00-04:00,2023-09-22 00:15:00-04:00,0.207,ELEC
1,2023-09-22 00:15:00-04:00,2023-09-22 00:30:00-04:00,0.201,ELEC
2,2023-09-22 00:30:00-04:00,2023-09-22 00:45:00-04:00,0.189,ELEC
3,2023-09-22 00:45:00-04:00,2023-09-22 01:00:00-04:00,0.174,ELEC
4,2023-09-22 01:00:00-04:00,2023-09-22 01:15:00-04:00,0.156,ELEC
5,2023-09-22 01:15:00-04:00,2023-09-22 01:30:00-04:00,0.207,ELEC
6,2023-09-22 01:30:00-04:00,2023-09-22 01:45:00-04:00,0.192,ELEC
7,2023-09-22 01:45:00-04:00,2023-09-22 02:00:00-04:00,0.201,ELEC
8,2023-09-22 02:00:00-04:00,2023-09-22 02:15:00-04:00,0.162,ELEC
9,2023-09-22 02:15:00-04:00,2023-09-22 02:30:00-04:00,0.18,ELEC
10,2023-09-22 02:30:00-04:00,2023-09-22 02:45:00-04:00,0.177,ELEC
11,2023-09-22 02:45:00-04:00,2023-09-22 03:00:00-04:00,0.183,ELEC
12,2023-09-22 03:00:00-04:00,2023-09-22 03:15:00-04:00,0.222,ELEC
13,2023-09-22 03:15:00-04:00,2023-09-22 03:30:00-04:00,0.192,ELEC
14,2023-09-22 03:30:00-04:00,2023-09-22 03:45:00-04:00,0.189,ELEC
15,2023-09-22 03:45:00-04:00,2023-09-22 04:00:00-04:00,0.171,ELEC
16,2023-09-22 04:00:00-04:00,2023-09-22 04:15:00-04:00,0.174,ELEC
17,2023-09-22 04:15:00-04:00,2023-09-22 04:30:00-04:00,0.174,ELEC
18,2023-09-22 04:30:00-04:00,2023-09-22 04:45:00-04:00,0.204,ELEC
19,2023-09-22 04:45:00-04:00,2023-09-22 05:00:00-04:00,0.216,ELEC
20,2023-09-22 05:00:00-04:00,2023-09-22 05:15:00-04:00,0.231,ELEC
21,2023-09-22 05:15:00-04:00,2023-09-22 05:30:00-04:00,0.186,ELEC
22,2023-09-22 05:30:00-04:00,2023-09-22 05:45:00-04:00,0.177,ELEC
23,2023-09-22 05:45:00-04:00,2023-09-22 06:00:00-04:00,0.204,ELEC
24,2023-09-22 06:00:00-04:00,2023-09-22 06:15:00-04:00,0.144,ELEC
25,2023-09-22 06:15:00-04:00,2023-09-22 06:30:00-04:00,0.156,ELEC
26,2023-09-22 06:30:00-04:00,2023-09-22 06:45:00-04:00,0.156,ELEC
27,2023-09-22 06:45:00-04:00,2023-09-22 07:00:00-04:00,0.144,ELEC
28,2023-09-22 07:00:00-04:00,2023-09-22 07:15:00-04:00,0.243,ELEC
29,2023-09-22 07:15:00-04:00,2023-09-22 07:30:00-04:00,0.297,ELEC
