,Type,Date,Start,End,Usage,Month,Price/kWh,Cost/15min,Summer?,Period
0,Electric usage,06/28/2024,00:00,00:15,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
1,Electric usage,06/28/2024,00:15,00:30,0.18,Jun 2024,$0.335,$0.060,Yes,Non-Peak
2,Electric usage,06/28/2024,00:30,00:45,0.195,Jun 2024,$0.335,$0.065,Yes,Non-Peak
3,Electric usage,06/28/2024,00:45,01:00,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
4,Electric usage,06/28/2024,01:00,01:15,0.174,Jun 2024,$0.335,$0.058,Yes,Non-Peak
5,Electric usage,06/28/2024,01:15,01:30,0.177,Jun 2024,$0.335,$0.059,Yes,Non-Peak
6,Electric usage,06/28/2024,01:30,01:45,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
7,Electric usage,06/28/2024,01:45,02:00,0.204,Jun 2024,$0.335,$0.068,Yes,Non-Peak
8,Electric usage,06/28/2024,02:00,02:15,0.21,Jun 2024,$0.335,$0.070,Yes,Non-Peak
9,Electric usage,06/28/2024,02:15,02:30,0.18,Jun 2024,$0.335,$0.060,Yes,Non-Peak
10,Electric usage,06/28/2024,02:30,02:45,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
11,Electric usage,06/28/2024,02:45,03:00,0.192,Jun 2024,$0.335,$0.064,Yes,Non-Peak
12,Electric usage,06/28/2024,03:00,03:15,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
13,Electric usage,06/28/2024,03:15,03:30,0.162,Jun 2024,$0.335,$0.054,Yes,Non-Peak
14,Electric usage,06/28/2024,03:30,03:45,0.165,Jun 2024,$0.335,$0.055,Yes,Non-Peak
15,Electric usage,06/28/2024,03:45,04:00,0.228,Jun 2024,$0.335,$0.076,Yes,Non-Peak
16,Electric usage,06/28/2024,04:00,04:15,0.225,Jun 2024,$0.335,$0.075,Yes,Non-Peak
17,Electric usage,06/28/2024,04:15,04:30,0.198,Jun 2024,$0.335,$0.066,Yes,Non-Peak
18,Electric usage,06/28/2024,04:30,04:45,0.231,Jun 2024,$0.335,$0.077,Yes,Non-Peak
19,Electric usage,06/28/2024,04:45,05:00,0.213,Jun 2024,$0.335,$0.071,Yes,Non-Peak
20,Electric usage,06/28/2024,05:00,05:15,0.207,Jun 2024,$0.335,$0.069,Yes,Non-Peak
21,Electric usage,06/28/2024,05:15,05:30,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
22,Electric usage,06/28/2024,05:30,05:45,0.177,Jun 2024,$0.335,$0.059,Yes,Non-Peak
23,Electric usage,06/28/2024,05:45,06:00,0.189,Jun 2024,$0.335,$0.063,Yes,Non-Peak
24,Electric usage,06/28/2024,06:00,06:15,0.186,Jun 2024,$0.335,$0.062,Yes,Non-Peak
25,Electric usage,06/28/2024,06:15,06:30,0.156,Jun 2024,$0.335,$0.052,Yes,Non-Peak
26,Electric usage,06/28/2024,06:30,06:45,0.153,Jun 2024,$0.335,$0.051,Yes,Non-Peak
27,Electric usage,06/28/2024,06:45,07:00,0.207,Jun 2024,$0.335,$0.069,Yes,Non-Peak
28,Electric usage,06/28/2024,07:00,07:15,0.231,Jun 2024,$0.335,$0.077,Yes,Non-Peak
29,Electric usage,06/28/2024,07:15,07:30,0.183,Jun 2024,$0.335,$0.061,Yes,Non-Peak
30,Electric usage,06/28/2024,07:30,07:45,0.165,Jun 2024,$0.335,$0.055,Yes,Non-Peak
31,Electric usage,06/28/2024,07:45,08:00,0.174,Jun 2024,$0.335,$0.058,Yes,Non-Peak
32,Electric usage,06/28/2024,08:00,08:15,0.195,Jun 2024,$0.335,$0.065,Yes,Summer Peak
33,Electric usage,06/28/2024,08:15,08:30,0.156,Jun 2024,$0.335,$0.052,Yes,Summer Peak
34,Electric usage,06/28/2024,08:30,08:45,0.177,Jun 2024,$0.335,$0.059,Yes,Summer Peak
35,Electric usage,06/28/2024,08:45,09:00,0.201,Jun 2024,$0.335,$0.067,Yes,Summer Peak
36,Electric usage,06/28/2024,09:00,09:15,0.216,Jun 2024,$0.335,$0.072,Yes,Summer Peak
37,Electric usage,06/28/2024,09:15,09:30,0.168,Jun 2024,$0.335,$0.056,Yes,Summer Peak
38,Electric usage,06/28/2024,09:30,09:45,0.168,Jun 2024,$0.335,$0.056,Yes,Summer Peak
