start_time,end_time,consumption,type
2023-01-21 00:00:00-05:00,2023-01-21 00:15:00-05:00,0.579,ELEC
2023-01-21 00:15:00-05:00,2023-01-21 00:30:00-05:00,1.071,ELEC
2023-01-21 00:30:00-05:00,2023-01-21 00:45:00-05:00,0.918,ELEC
2023-01-21 00:45:00-05:00,2023-01-21 01:00:00-05:00,0.327,ELEC
2023-01-21 01:00:00-05:00,2023-01-21 01:15:00-05:00,0.324,ELEC
2023-01-21 01:15:00-05:00,2023-01-21 01:30:00-05:00,1.428,ELEC
2023-01-21 01:30:00-05:00,2023-01-21 01:45:00-05:00,0.705,ELEC
2023-01-21 01:45:00-05:00,2023-01-21 02:00:00-05:00,0.444,ELEC
2023-01-21 02:00:00-05:00,2023-01-21 02:15:00-05:00,1.134,ELEC
2023-01-21 02:15:00-05:00,2023-01-21 02:30:00-05:00,1.2,ELEC
2023-01-21 02:30:00-05:00,2023-01-21 02:45:00-05:00,0.426,ELEC
2023-01-21 02:45:00-05:00,2023-01-21 03:00:00-05:00,0.501,ELEC
2023-01-21 03:00:00-05:00,2023-01-21 03:15:00-05:00,1.53,ELEC
2023-01-21 03:15:00-05:00,2023-01-21 03:30:00-05:00,0.897,ELEC
2023-01-21 03:30:00-05:00,2023-01-21 03:45:00-05:00,0.408,ELEC
2023-01-21 03:45:00-05:00,2023-01-21 04:00:00-05:00,0.777,ELEC
2023-01-21 04:00:00-05:00,2023-01-21 04:15:00-05:00,1.5,ELEC
2023-01-21 04:15:00-05:00,2023-01-21 04:30:00-05:00,0.516,ELEC
2023-01-21 04:30:00-05:00,2023-01-21 04:45:00-05:00,0.54,ELEC
2023-01-21 04:45:00-05:00,2023-01-21 05:00:00-05:00,1.59,ELEC
2023-01-21 05:00:00-05:00,2023-01-21 05:15:00-05:00,0.768,ELEC
2023-01-21 05:15:00-05:00,2023-01-21 05:30:00-05:00,0.576,ELEC
2023-01-21 05:30:00-05:00,2023-01-21 05:45:00-05:00,1.233,ELEC
2023-01-21 05:45:00-05:00,2023-01-21 06:00:00-05:00,1.467,ELEC
2023-01-21 06:00:00-05:00,2023-01-21 06:15:00-05:00,1.326,ELEC
2023-01-21 06:15:00-05:00,2023-01-21 06:30:00-05:00,1.818,ELEC
2023-01-21 06:30:00-05:00,2023-01-21 06:45:00-05:00,3.429,ELEC
2023-01-21 06:45:00-05:00,2023-01-21 07:00:00-05:00,2.679,ELEC
2023-01-21 07:00:00-05:00,2023-01-21 07:15:00-05:00,2.166,ELEC
2023-01-21 07:15:00-05:00,2023-01-21 07:30:00-05:00,1.581,ELEC
2023-01-21 07:30:00-05:00,2023-01-21 07:45:00-05:00,2.28,ELEC
2023-01-21 07:45:00-05:00,2023-01-21 08:00:00-05:00,2.733,ELEC
2023-01-21 08:00:00-05:00,2023-01-21 08:15:00-05:00,2.529,ELEC
2023-01-21 08:15:00-05:00,2023-01-21 08:30:00-05:00,1.62,ELEC
2023-01-21 08:30:00-05:00,2023-01-21 08:45:00-05:00,1.659,ELEC
2023-01-21 08:45:00-05:00,2023-01-21 09:00:00-05:00,1.872,ELEC
2023-01-21 09:00:00-05:00,2023-01-21 09:15:00-05:00,1.851,ELEC
2023-01-21 09:15:00-05:00,2023-01-21 09:30:00-05:00,1.632,ELEC
2023-01-21 09:30:00-05:00,2023-01-21 09:45:00-05:00,2.565,ELEC
2023-01-21 09:45:00-05:00,2023-01-21 10:00:00-05:00,2.601,ELEC
2023-01-21 10:00:00-05:00,2023-01-21 10:15:00-05:00,1.698,ELEC
2023-01-21 10:15:00-05:00,2023-01-21 10:30:00-05:00,1.584,ELEC
2023-01-21 10:30:00-05:00,2023-01-21 10:45:00-05:00,1.638,ELEC
2023-01-21 10:45:00-05:00,2023-01-21 11:00:00-05:00,1.494,ELEC
2023-01-21 11:00:00-05:00,2023-01-21 11:15:00-05:00,2.616,ELEC
2023-01-21 11:15:00-05:00,2023-01-21 11:30:00-05:00,3.036,ELEC
2023-01-21 11:30:00-05:00,2023-01-21 11:45:00-05:00,1.692,ELEC
2023-01-21 11:45:00-05:00,2023-01-21 12:00:00-05:00,1.566,ELEC
2023-01-21 12:00:00-05:00,2023-01-21 12:15:00-05:00,1.644,ELEC
2023-01-21 12:15:00-05:00,2023-01-21 12:30:00-05:00,1.548,ELEC
2023-01-21 12:30:00-05:00,2023-01-21 12:45:00-05:00,2.346,ELEC
2023-01-21 12:45:00-05:00,2023-01-21 13:00:00-05:00,2.388,ELEC
2023-01-21 13:00:00-05:00,2023-01-21 13:15:00-05:00,1.656,ELEC
2023-01-21 13:15:00-05:00,2023-01-21 13:30:00-05:00,1.617,ELEC
2023-01-21 13:30:00-05:00,2023-01-21 13:45:00-05:00,2.301,ELEC
2023-01-21 13:45:00-05:00,2023-01-21 14:00:00-05:00,2.115,ELEC
2023-01-21 14:00:00-05:00,2023-01-21 14:15:00-05:00,1.581,ELEC
2023-01-21 14:15:00-05:00,2023-01-21 14:30:00-05:00,1.854,ELEC
2023-01-21 14:30:00-05:00,2023-01-21 14:45:00-05:00,2.514,ELEC
2023-01-21 14:45:00-05:00,2023-01-21 15:00:00-05:00,1.965,ELEC
2023-01-21 15:00:00-05:00,2023-01-21 15:15:00-05:00,1.542,ELEC
2023-01-21 15:15:00-05:00,2023-01-21 15:30:00-05:00,1.515,ELEC
2023-01-21 15:30:00-05:00,2023-01-21 15:45:00-05:00,1.611,ELEC
2023-01-21 15:45:00-05:00,2023-01-21 16:00:00-05:00,2.139,ELEC
2023-01-21 16:00:00-05:00,2023-01-21 16:15:00-05:00,1.866,ELEC
